net,length_um
net5,48.36
_00_,44.8
net8,39.52
net1,36.58
_04_,35.36
net7,33.3
_06_,32.76
net6,32.44
net2,30.96
net4,30.54
_01_,30.32
net14,29.52
net3,29.5
_05_,29.16
net16,28.46
net15,28.36
net11,23.6
_08_,22.08
_03_,19.44
_02_,19.06
net13,18.02
net9,15.5
in[7],12.79
out[0],11.89
in[0],11.07
out[7],10.61
net10,10.46
net12,9.2
in[1],8.63
in[2],7.37
out[6],6.69
out[4],6.23
in[3],5.97
out[3],5.29
out[5],5.29
in[4],4.95
in[5],4.61
in[6],4.61
out[1],3.93
out[2],3.93
_07_,2.62
