net,length_um
_114_,215.1
_094_,195.11
decoder.count\[0\],192.03
_066_,190.94
decoder.delay\[6\],179.55
decoder.delay\[8\],179.4
decoder.count\[1\],174.915
_061_,171.51
decoder.count\[3\],164.59
decoder.delay\[4\],162.99
_113_,159.78
_112_,159.38
_116_,158.505
decoder.delay\[0\],150.96
_059_,150.52
decoder.delay\[9\],150.18
_079_,149.69
decoder.delay\[2\],142.6
decoder.delay\[5\],140.67
decoder.delay\[16\],130.87
_090_,129.28
decoder.count\[2\],124.96
decoder.delay\[13\],124.69
_118_,122.58
decoder.delay\[22\],120.69
decoder.delay\[10\],120.6
decoder.delay\[18\],120.1
_096_,118.13
_115_,118.04
_076_,117.78
_023_,114.12
decoder.delay\[7\],114.1
decoder.delay\[1\],113.92
_119_,112
decoder.delay\[12\],110.74
_067_,108.68
_075_,107.805
_107_,107.455
_017_,106.96
_048_,102.79
_064_,102.14
decoder.delay\[15\],101.88
_062_,97.8
decoder.delay\[17\],93.74
_100_,91.8
_117_,90.76
_080_,89.92
_031_,87.52
decoder.delay\[14\],86.85
BTNC,86.61
_103_,86.42
_013_,86.14
decoder.delay\[24\],85.88
_073_,84.32
clknet_2_2__leaf_CLK100MHZ,84
_098_,82.69
decoder.delay\[3\],81.58
_102_,80.94
_044_,80.43
_002_,80.26
_087_,79.11
_065_,78.7
net4,78.64
decoder.delay\[11\],77.22
clknet_2_0__leaf_CLK100MHZ,76.3
_083_,75.22
_027_,75.13
clknet_2_3__leaf_CLK100MHZ,75.12
_039_,74.73
_110_,73.78
_045_,73.77
_074_,73.3
_015_,73.12
_057_,71.64
net3,70.2
_029_,70.13
_077_,69.86
clknet_0_CLK100MHZ,68.04
_081_,67.78
net1,66.7
decoder.delay\[21\],66.5
decoder.delay\[20\],66.06
_022_,65.38
_041_,65.17
net6,65.04
_105_,62.92
_006_,62.58
_033_,61.96
_070_,60.26
decoder.delay\[19\],59.54
CLK100MHZ,58.45
_037_,54.55
_052_,54.33
_042_,54.29
_111_,54.28
net7,54.02
_097_,53.22
_095_,53.16
_004_,53.05
_106_,52.4
clknet_2_1__leaf_CLK100MHZ,52.34
net5,49.1
_071_,47.96
_034_,46.94
_050_,46.79
_082_,46.22
_012_,46.14
_104_,44.86
_069_,44
_078_,43.9
_055_,43.88
_088_,43.84
_093_,41.7
_054_,41.26
_036_,40.56
_053_,39.19
_060_,37.74
_068_,37.72
_016_,37.66
_101_,36.96
_085_,36.3
_011_,36.22
_008_,35.64
_043_,34.59
_089_,34.04
_058_,32.94
_010_,32.66
_049_,32.07
_024_,31.46
_030_,31.39
_092_,30.46
_018_,29.66
_005_,29.14
_086_,29.1
_091_,28.8
_003_,26.3
_021_,25.64
_040_,25.52
_026_,23.67
decoder.delay\[23\],23.22
_032_,21.98
_084_,21.58
_099_,21.28
_035_,20.17
_028_,19.64
_047_,19.37
_020_,18.54
net2,17.3
_109_,15.92
_019_,15.64
_072_,15.56
_038_,15.42
_007_,13.26
_108_,13
_025_,12.28
_014_,11.68
_000_,10.44
net9,8.96
_009_,8.74
net8,8.72
_056_,8.28
net10,8.04
net11,8.04
seg[6],7.13
_001_,6.3
seg[0],5.97
seg[4],5.63
seg[2],5.29
seg[3],5.29
_051_,4.99
seg[1],3.93
seg[5],3.93
_063_,3.34
_046_,3.23
